team_id,team,conference,games,wins,losses,win_pct,avg_margin,ppg_for,ppg_against,pyth_win_pct,luck_overperformance,close_share_5,close_win_pct_5,close_games_5,close_wins_5,close_losses_5,adj_em
2046,Austin Peay Governors,ASUN Conference,25.0,19.0,6.0,0.76,10.92,82.04,71.12,0.8378939693564574,-0.07789396935645743,0.2,0.8,5.0,4.0,1.0,10.92
2737,Winthrop Eagles,Big South Conference,27.0,19.0,8.0,0.7037037037037037,10.444444444444445,85.03703703703704,74.5925925925926,0.8186199480543315,-0.11491624435062775,0.3333333333333333,0.6666666666666666,9.0,6.0,3.0,10.444444444444445
2193,East Tennessee State Buccaneers,Southern Conference,27.0,19.0,8.0,0.7037037037037037,10.222222222222221,78.33333333333333,68.11111111111111,0.8331443666789965,-0.12944066297529278,0.2962962962962963,0.5,8.0,4.0,4.0,10.222222222222221
2641,Texas Tech Red Raiders,Big 12 Conference,25.0,19.0,6.0,0.76,9.64,82.0,72.36,0.8081841660769696,-0.048184166076969626,0.36,0.6666666666666666,9.0,6.0,3.0,9.64
2305,Kansas Jayhawks,Big 12 Conference,25.0,19.0,6.0,0.76,9.12,77.12,68.0,0.8095874663514177,-0.04958746635141764,0.24,0.8333333333333334,6.0,5.0,1.0,9.12
2309,Kent State Golden Flashes,Mid-American Conference,26.0,19.0,7.0,0.7307692307692307,5.961538461538462,85.96153846153847,80.0,0.6956235426245853,0.03514568814464547,0.34615384615384615,0.7777777777777778,9.0,7.0,2.0,5.961538461538462
93,Murray State Racers,Missouri Valley Conference,28.0,19.0,9.0,0.6785714285714286,4.821428571428571,84.32142857142857,79.5,0.6630930528138838,0.015478375757544849,0.2857142857142857,0.625,8.0,5.0,3.0,4.821428571428571
2294,Iowa Hawkeyes,Big Ten Conference,25.0,18.0,7.0,0.72,12.08,76.96,64.88,0.8769202528439085,-0.15692025284390854,0.16,0.5,4.0,2.0,2.0,12.08
62,Hawai'i Rainbow Warriors,Big West Conference,24.0,18.0,6.0,0.75,11.958333333333334,79.75,67.79166666666667,0.8662569144761197,-0.11625691447611974,0.16666666666666666,0.75,4.0,3.0,1.0,11.958333333333334
2633,Tennessee Volunteers,Southeastern Conference,25.0,18.0,7.0,0.72,11.76,81.04,69.28,0.8585193001525844,-0.1385193001525844,0.28,0.42857142857142855,7.0,3.0,4.0,11.76
152,NC State Wolfpack,Atlantic Coast Conference,26.0,18.0,8.0,0.6923076923076923,10.576923076923077,84.96153846153847,74.38461538461539,0.8218481787049295,-0.12954048639723725,0.23076923076923078,0.3333333333333333,6.0,2.0,4.0,10.576923076923077
